travel sustainable,travel sustainable_2,star rating,quality rating,preferred badge,review score,overall review,reviews count,property name,location,price,distance from centre,room type recommendation
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Partner property,9.3,Superb,81,The Platinum KLCC By Castle,Kuala Lumpur,MYR 342,0.8 km from centre,One-Bedroom Apartment
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.0,Good,882,Hotel Venice,"Bukit Bintang, Kuala Lumpur",MYR 79,1.8 km from centre,Superior Twin Room
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,6.9,Review score,"1,297",Euro Life Hotel @ KL Sentral,"Brickfields, Kuala Lumpur",MYR 85,3.3 km from centre,Standard Queen Room
Travel Sustainable Level 1,N/A,5 out of 5,N/A,N/A,10,Exceptional,2,Lucantia Serviced Suites Kuala Lumpur,"Pudu, Kuala Lumpur",MYR 234,1.7 km from centre,Superior Suite
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.5,Very good,"2,279",Perdana Kuala Lumpur City Centre,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 262,1.3 km from centre,Studio Room Queen (2 pax breakfast included)
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,Regalia suites infinity pool klcc by AJS group,"Chow Kit, Kuala Lumpur",MYR 194,2 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.6,Good,"1,158",KL Times Square Apartment,"Bukit Bintang, Kuala Lumpur",MYR 190,1.3 km from centre,Superior Suite
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.4,Very good,"3,184",Saba Suites at Platinum KLCC Bukit Bintang Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur","MYR 1,476",0.7 km from centre,Economy Deluxe Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.0,Very good,"2,889",Bukit Bintang Suite at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 257,1.4 km from centre,Studio Suite
N/A,N/A,N/A,4 out of 5,N/A,10,Exceptional,1,TheEden#13 SwissGardenKL,"Bukit Bintang, Kuala Lumpur",MYR 168,1.2 km from centre,Two-Bedroom Apartment
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Scarletz suite,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 141,1.2 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,KL City View 6pax @Anggun 5min walk to Monorail,"Chow Kit, Kuala Lumpur",MYR 272,1 km from centre,One-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.4,Good,45,PLAZA Apartment at Berjaya Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 342,1.3 km from centre,One-Bedroom Apartment
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.7,Good,"1,319",Maison Boutique Theme Hotel @ Bukit Bintang City Centre,"Bukit Bintang, Kuala Lumpur",MYR 109,1.7 km from centre,Superior Room
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,9.0,Superb,126,Suites at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 323,1.4 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.6,Good,265,D Loft Hotel,Kuala Lumpur,MYR 160,1.7 km from centre,Deluxe Double Room
Travel Sustainable Level 3,N/A,N/A,4 out of 5,N/A,9.6,Exceptional,37,Mercu Summer Suite KLCC by Minshuku,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 170,0.7 km from centre,Deluxe Queen Studio
N/A,N/A,3 out of 5,N/A,N/A,6.3,Review score,186,Sun Inns Hotel Jalan Tar,"Golden Triangle, Kuala Lumpur",MYR 111,1.3 km from centre,Deluxe Room
Travel Sustainable Level 1,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.5,Very good,"2,577","The Majestic Hotel Kuala Lumpur, Autograph Collection",Kuala Lumpur,MYR 383,2.4 km from centre,Deluxe King Room
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,soho suite klcc by Homestay,"Golden Triangle, Kuala Lumpur",MYR 320,1.3 km from centre,Two-Bedroom Apartment
Travel Sustainable Level 1,N/A,N/A,4 out of 5,N/A,9.9,Exceptional,9,Platinum KLCC By Loversuites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 370,0.7 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,3 out of 5,N/A,This is a Preferred Partner property,8.2,Very good,496,"Santa Grand Classic Kuala Lumpur, Chinatown",Kuala Lumpur,MYR 144,1.6 km from centre,Superior Queen Room
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.9,Good,"3,211",ibis Kuala Lumpur City Centre,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 184,1.3 km from centre,Standard Queen Room
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.4,Good,317,Summer Suites Residences by Subhome,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 83,0.6 km from centre,Day use Max 6 Hours between 8AM to 3PM
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.5,Very good,312,Summer suites klcc by Star Residence,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 199,0.6 km from centre,Studio with Balcony
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.3,Very good,"2,434",Days Hotel & Suites by Wyndham Fraser Business Park KL,"Pudu, Kuala Lumpur",MYR 144,2.9 km from centre,Superior King Room - Non-Smoking
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,7.6,Good,147,Rain Forest Hotel,Kuala Lumpur,MYR 77,1.7 km from centre,Standard Twin Room
N/A,N/A,4 out of 5,N/A,N/A,8.9,Fabulous,149,Eaton Residences KLCC by Luna,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 288,1.4 km from centre,Superior One-Bedroom Suite
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,7.5,Good,760,Double M Hotel @ Kl Sentral,"Brickfields, Kuala Lumpur",MYR 87,3.1 km from centre,Superior Double Room
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.2,Good,"2,500",WP Hotel,"Chow Kit, Kuala Lumpur",MYR 126,1.4 km from centre,Superior Twin Room
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.6,Fabulous,"3,823",Aloft Kuala Lumpur Sentral,"KL Sentral Train Station, Kuala Lumpur",MYR 400,3.4 km from centre,"2 Queen Beds, Room"
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Partner property,9.7,Exceptional,125,Paradise Suites at Eaton KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 404,1.4 km from centre,Double or Twin Room with City View
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.2,Very good,55,Homestay Serviced Suites at Platinum KLCC,Kuala Lumpur,MYR 485,0.8 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.9,Fabulous,824,Ascott Star KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 405,0.9 km from centre,Studio Executive
N/A,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.4,Very good,103,Tropicana Residence Klcc @ Roof Top Swimming Pool,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 314,0.5 km from centre,Suite with City View
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.9,Fabulous,148,The Platinum KLCC By Home Stay,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 400,0.6 km from centre,One-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.9,Good,405,EST Bangsar KL Sentral by Greater Stay,"Brickfields, Kuala Lumpur",MYR 174,4.2 km from centre,Queen Suite
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.2,Very good,"1,707",Grand Service Apartment @ Times Square,"Bukit Bintang, Kuala Lumpur",MYR 283,1.4 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.4,Very good,"1,861",Sheraton Imperial Kuala Lumpur Hotel,"Chow Kit, Kuala Lumpur",MYR 400,1 km from centre,"1 King Bed, City View, Room"
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.0,Very good,"1,525",Queens Service Suites at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 174,1.3 km from centre,Premier Studio Suite
N/A,N/A,N/A,N/A,This is a Preferred Partner property,7.1,Good,127,Regalia suites 424,"Chow Kit, Kuala Lumpur",MYR 131,2 km from centre,Family Studio
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.4,Good,833,Melange Boutique Hotel Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 122,0.9 km from centre,Deluxe Queen Room
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.8,Fabulous,347,ASTRA @ Suite Platinum 2 KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 647,0.6 km from centre,One-Bedroom Suite
Travel Sustainable Level 2,N/A,3 out of 5,N/A,This is a Preferred Partner property,8.1,Very good,"7,530",Komune Living,"Bangsar South, Kuala Lumpur",MYR 148,6.5 km from centre,Dreamer Studio
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Plus property,9.4,Superb,356,Star Sky Park KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 566,0.9 km from centre,One-Bedroom Suite
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Apartment/studio 30sqm furnished,Kuala Lumpur,MYR 98,3.7 km from centre,One-Bedroom Apartment
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,8.1,Very good,322,De Luna Hotel Sri Petaling,Kuala Lumpur,MYR 111,9.8 km from centre,Superior Queen Room
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.3,Very good,"1,238",Vortex KLCC Apartments,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 238,100 m from centre,Two-Bedroom Apartment with Two Bathrooms
N/A,N/A,3 out of 5,N/A,N/A,8.5,Very good,992,Akar Hotel Kampung Baru,Kuala Lumpur,MYR 104,1.2 km from centre,Superior King Room
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Partner property,9.3,Superb,28,Luxury Suites at Eaton KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 539,1.4 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.1,Very good,"1,151",Sky Suites KLCC by Luna Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 655,350 m from centre,Deluxe Two-Bedroom Suite
N/A,N/A,3 out of 5,N/A,N/A,7.8,Good,"1,649",Cititel Mid Valley,"Mid Valley, Kuala Lumpur",MYR 257,5.2 km from centre,Superior Twin Room
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Partner property,9.8,Exceptional,6,Star KLCC by AR Hosp,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 611,0.9 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.7,Fabulous,153,Star Serviced Suite KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 535,0.9 km from centre,Superior Suite
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.7,Fabulous,"1,763",Alila Bangsar Kuala Lumpur,"Brickfields, Kuala Lumpur",MYR 350,4.3 km from centre,King Room
N/A,N/A,N/A,N/A,N/A,8.4,Very good,22,The Common Room @ Regalia,"Golden Triangle, Kuala Lumpur",MYR 95,2.2 km from centre,Budget Double Room
